no,table_name,direction,base,count,pps,dir_0_opackets,dir_0_ipackets,dir_1_opackets,dir_1_ipackets,dir_0_obytes,dir_0_ibytes,dir_1_obytes,dir_1_ibytes,dir_0_oerrors,dir_0_ierrors,dir_1_oerrors,dir_1_ierrors,lost_0,lost_1,elapsed,,,,,,,
132,udp64b,both,0,1,8116883.117,243513384,17025973,243513384,22726468,32630793456,2281480382,15584856576,1454493952,0,0,0,0,220786916,226487411,40.00629711,,,,,,,
133,udp64b,both,0,1,8116883.117,243513384,17491940,243513384,22901588,32630793456,2343919960,15584856576,1465701632,0,0,0,0,220611796,226021444,40.00087404,,,,,,,
134,udp64b,both,0,1,4058441.558,121753097,12619028,121753097,16867780,16314914998,1690949752,7792198208,1079537920,0,0,0,0,104885317,109134069,30.02561092,,,,,,,
135,udp64b,both,0,1,4058441.558,121753097,12639700,121753097,16811332,16314914998,1693719800,7792198208,1075925248,0,0,0,0,104941765,109113397,30.022259,,,,,,,
136,udp64b,both,0,1,2029220.779,60876549,12639892,60876549,16914564,8157457566,1693745528,3896099136,1082532096,0,0,0,0,43961985,48236657,30.01750278,,,,,,,
137,udp64b,both,0,1,2029220.779,60876549,12874164,60876549,16882884,8157457566,1725137976,3896099136,1080504576,0,0,0,0,43993665,48002385,30.03230906,,,,,,,
138,udp64b,both,0,1,1014610.39,30438275,13009332,30438275,17039556,4078728850,1743250488,1948049600,1090531584,0,0,0,0,13398719,17428943,30.02771497,,,,,,,
139,udp64b,both,0,1,1014610.39,30438275,12987556,30438275,16955947,4078728850,1740332504,1948049600,1085180608,0,0,0,0,13482328,17450719,30.01967096,,,,,,,
140,udp64b,both,0,1,507305.1948,15219138,13575643,15219138,15219138,2039364492,1819136162,974024832,974024832,0,0,0,0,0,1643495,30.01584816,,,,,,,
141,udp64b,both,0,1,507305.1948,15219138,13385275,15219138,15219138,2039364492,1793626850,974024832,974024832,0,0,0,0,0,1833863,30.02934408,,,,,,,
142,udp64b,both,0,1,253652.5974,7609555,7609555,7609555,7609555,1019680370,1019680370,487011520,487011520,0,0,0,0,0,0,30.02112794,,,,,,,
143,udp64b,both,0,1,380478.8961,11414343,11414343,11414343,11414343,1529521962,1529521962,730517952,730517952,0,0,0,0,0,0,30.02586508,,,,,,,
144,udp64b,both,0,1,443892.0455,13316739,13316739,13316739,13316739,1784443026,1784443026,852271296,852271296,0,0,0,0,0,0,30.02162004,,,,,,,
145,udp64b,both,0,1,475598.6201,14267958,13764408,14267958,14267958,1911906372,1844430672,913149312,913149312,0,0,0,0,0,503550,30.03151107,,,,,,,
146,udp64b,both,0,1,475598.6201,14267958,13765840,14267958,14267958,1911906372,1844622560,913149312,913149312,0,0,0,0,0,502118,30.02413487,,,,,,,
147,udp64b,both,0,1,459745.3328,13792353,13700637,13792353,13792353,1848175302,1835885358,882710592,882710592,0,0,0,0,0,91716,30.03304005,,,,,,,
148,udp64b,both,0,1,459745.3328,13792353,13652539,13792353,13792353,1848175302,1829440226,882710592,882710592,0,0,0,0,0,139814,30.01841092,,,,,,,
149,udp64b,both,0,1,451818.6891,13554539,13554539,13554539,13554539,1816308226,1816308226,867490496,867490496,0,0,0,0,0,0,30.02604699,,,,,,,
150,udp64b,both,0,1,455782.011,13673477,13656712,13673477,13673477,1832245918,1829999408,875102528,875102528,0,0,0,0,0,16765,30.02864003,,,,,,,
151,udp64b,both,0,1,455782.011,13673477,13573185,13673477,13673477,1832245918,1818806790,875102528,875102528,0,0,0,0,0,100292,30.02434707,,,,,,,
152,udp64b,both,0,1,453800.35,13614018,13611924,13614018,13614018,1824278412,1823997816,871297152,871297152,0,0,0,0,0,2094,30.02227283,,,,,,,
153,udp64b,both,0,1,453800.35,13614018,13614018,13614018,13614018,1824278412,1824278412,871297152,871297152,0,0,0,0,0,0,30.02730203,,,,,,,
154,udp64b,both,0,1,454791.1805,13643751,13643751,13643751,13643751,1828262634,1828262634,873200064,873200064,0,0,0,0,0,0,30.03229809,,,,,,,
155,udp64b,both,0,1,455286.5957,13658575,13624418,13658575,13658575,1830249050,1825672012,874148800,874148800,0,0,0,0,0,34157,30.03098702,,,,,,,
156,udp64b,both,0,1,455286.5957,13658575,13657408,13658575,13658575,1830249050,1830092672,874148800,874148800,0,0,0,0,0,1167,30.03088999,,,,,,,
157,udp128b,encap,0,1,5733944.954,0,16373195,172020886,0,0,3241892610,22018673408,0,0,0,0,0,0,155647691,30.02537203,,,,,,,
158,udp128b,encap,0,1,5733944.954,0,16303734,172020886,0,0,3228139332,22018673408,0,0,0,0,0,0,155717152,30.01849389,,,,,,,
159,udp128b,encap,0,1,2866972.477,0,16071522,86008649,0,0,3182161356,11009107072,0,0,0,0,0,0,69937127,30.02072501,,,,,,,
160,udp128b,encap,0,1,2866972.477,0,16249460,86008649,0,0,3217393080,11009107072,0,0,0,0,0,0,69759189,30.02215099,,,,,,,
161,udp128b,encap,0,1,1433486.239,0,16393396,43004773,0,0,3245892408,5504610944,0,0,0,0,0,0,26611377,30.030797,,,,,,,
162,udp128b,encap,0,1,1433486.239,0,16065300,43004773,0,0,3180929400,5504610944,0,0,0,0,0,0,26939473,30.02497602,,,,,,,
163,udp128b,encap,0,1,716743.1193,0,16076705,21502275,0,0,3183187590,2752291200,0,0,0,0,0,0,5425570,30.02996707,,,,,,,
164,udp128b,encap,0,1,716743.1193,0,16292522,21502275,0,0,3225919356,2752291200,0,0,0,0,0,0,5209753,30.01768708,,,,,,,
